File Path,Model,Prompt,Filename,Age,Gender,Race,Emotion,P_Skin_Hex,P_MST_Index,P_MST_Hex,P_PERLA_Index,P_PERLA_Hex,P_FST_Type,P_FST_DeltaE,P_N_Clusters
output\gemini_flash\an_individual_photorealistic\14.png,gemini_flash,an_individual_photorealistic,14.png,26,Woman,white,happy,#ddbfb5,2,#f3e7db,9,#E7C1B8,2,6.38,1
output\gemini_flash\an_individual_photorealistic\140.png,gemini_flash,an_individual_photorealistic,140.png,22,Woman,white,happy,#eac9b7,2,#f3e7db,9,#E7C1B8,2,3.84,2
output\gemini_flash\an_individual_photorealistic\141.png,gemini_flash,an_individual_photorealistic,141.png,25,Woman,white,happy,#aa887d,6,#a07e56,6,#9D7A54,4,9.02,1
output\gemini_flash\an_individual_photorealistic\142.png,gemini_flash,an_individual_photorealistic,142.png,24,Woman,white,happy,#d7b5ae,2,#f3e7db,9,#E7C1B8,2,8.3,1
output\gemini_flash\an_individual_photorealistic\143.png,gemini_flash,an_individual_photorealistic,143.png,26,Woman,white,happy,#d6bab3,2,#f3e7db,9,#E7C1B8,2,8.11,1
output\gemini_flash\an_individual_photorealistic\144.png,gemini_flash,an_individual_photorealistic,144.png,27,Woman,white,happy,#e4c1b6,2,#f3e7db,9,#E7C1B8,2,6.04,1
output\gemini_flash\an_individual_photorealistic\145.png,gemini_flash,an_individual_photorealistic,145.png,28,Woman,white,happy,#e8ae7a,5,#d7bd96,7,#BEA07E,3,6.08,2
output\gemini_flash\an_individual_photorealistic\146.png,gemini_flash,an_individual_photorealistic,146.png,23,Woman,white,happy,#8e6d5f,7,#825c43,5,#81654F,5,9.57,2
output\gemini_flash\an_individual_photorealistic\147.png,gemini_flash,an_individual_photorealistic,147.png,24,Woman,white,happy,#d1a792,5,#d7bd96,7,#BEA07E,3,3.77,2
output\gemini_flash\an_individual_photorealistic\148.png,gemini_flash,an_individual_photorealistic,148.png,26,Woman,white,neutral,#e8d0c2,2,#f3e7db,10,#F3DAD6,1,6.27,1
output\gemini_flash\an_individual_photorealistic\149.png,gemini_flash,an_individual_photorealistic,149.png,27,Woman,white,happy,#efbda1,5,#d7bd96,9,#E7C1B8,2,1.47,1
output\gemini_flash\an_individual_photorealistic\15.png,gemini_flash,an_individual_photorealistic,15.png,29,Woman,white,happy,#f4b781,5,#d7bd96,8,#E5C8A6,3,6.92,2
output\gemini_flash\an_individual_photorealistic\150.png,gemini_flash,an_individual_photorealistic,150.png,25,Woman,white,happy,#d6b6ac,5,#d7bd96,9,#E7C1B8,2,7.04,2
output\gemini_flash\an_individual_photorealistic\151.png,gemini_flash,an_individual_photorealistic,151.png,24,Woman,white,happy,#e2b6a0,5,#d7bd96,9,#E7C1B8,2,3.37,1
output\gemini_flash\an_individual_photorealistic\152.png,gemini_flash,an_individual_photorealistic,152.png,22,Woman,white,happy,#dcbaa7,5,#d7bd96,9,#E7C1B8,2,4.51,1
output\gemini_flash\an_individual_photorealistic\153.png,gemini_flash,an_individual_photorealistic,153.png,27,Woman,white,happy,#ebb8a1,5,#d7bd96,9,#E7C1B8,2,2.77,1
output\gemini_flash\an_individual_photorealistic\154.png,gemini_flash,an_individual_photorealistic,154.png,26,Woman,white,happy,#dcbbb0,5,#d7bd96,9,#E7C1B8,2,6.19,1
output\gemini_flash\an_individual_photorealistic\155.png,gemini_flash,an_individual_photorealistic,155.png,26,Woman,white,happy,#d9bbb7,2,#f3e7db,9,#E7C1B8,2,8.48,1
output\gemini_flash\an_individual_photorealistic\156.png,gemini_flash,an_individual_photorealistic,156.png,24,Woman,white,happy,#dbbdb1,5,#d7bd96,9,#E7C1B8,2,5.64,1
output\gemini_flash\an_individual_photorealistic\157.png,gemini_flash,an_individual_photorealistic,157.png,27,Woman,white,neutral,#e9b8a6,5,#d7bd96,9,#E7C1B8,2,3.64,2
output\gemini_flash\an_individual_photorealistic\158.png,gemini_flash,an_individual_photorealistic,158.png,28,Woman,white,happy,#edbd84,5,#d7bd96,8,#E5C8A6,3,9.07,2
output\gemini_flash\an_individual_photorealistic\159.png,gemini_flash,an_individual_photorealistic,159.png,23,Woman,white,happy,#c09688,6,#a07e56,7,#BEA07E,4,8.08,1
output\gemini_flash\an_individual_photorealistic\16.png,gemini_flash,an_individual_photorealistic,16.png,28,Woman,white,happy,#a47f77,6,#a07e56,6,#9D7A54,4,10.2,1
output\gemini_flash\an_individual_photorealistic\160.png,gemini_flash,an_individual_photorealistic,160.png,28,Woman,white,happy,#eab78e,5,#d7bd96,8,#E5C8A6,3,4.56,2
output\gemini_flash\an_individual_photorealistic\161.png,gemini_flash,an_individual_photorealistic,161.png,20,Woman,white,happy,#dcbeb4,2,#f3e7db,9,#E7C1B8,2,6.15,2
output\gemini_flash\an_individual_photorealistic\162.png,gemini_flash,an_individual_photorealistic,162.png,24,Woman,white,happy,#dcbbb4,2,#f3e7db,9,#E7C1B8,2,7.58,1
output\gemini_flash\an_individual_photorealistic\163.png,gemini_flash,an_individual_photorealistic,163.png,22,Man,white,happy,#eabeaa,5,#d7bd96,9,#E7C1B8,2,2.37,2
output\gemini_flash\an_individual_photorealistic\164.png,gemini_flash,an_individual_photorealistic,164.png,26,Woman,white,happy,#dbb3a2,5,#d7bd96,9,#E7C1B8,2,5.04,2
output\gemini_flash\an_individual_photorealistic\165.png,gemini_flash,an_individual_photorealistic,165.png,29,Woman,white,happy,#a2735c,6,#a07e56,6,#9D7A54,4,8.62,2
output\gemini_flash\an_individual_photorealistic\166.png,gemini_flash,an_individual_photorealistic,166.png,21,Man,white,happy,#e2b7ad,5,#d7bd96,9,#E7C1B8,2,6.56,2
output\gemini_flash\an_individual_photorealistic\167.png,gemini_flash,an_individual_photorealistic,167.png,20,Man,white,happy,#eeb99a,5,#d7bd96,9,#E7C1B8,2,2.94,2
output\gemini_flash\an_individual_photorealistic\168.png,gemini_flash,an_individual_photorealistic,168.png,27,Woman,white,happy,#daa591,5,#d7bd96,9,#E7C1B8,3,4.39,2
output\gemini_flash\an_individual_photorealistic\169.png,gemini_flash,an_individual_photorealistic,169.png,28,Woman,white,happy,#b08669,6,#a07e56,6,#9D7A54,4,5.74,2
output\gemini_flash\an_individual_photorealistic\17.png,gemini_flash,an_individual_photorealistic,17.png,26,Woman,white,happy,#cbaba2,5,#d7bd96,9,#E7C1B8,3,8.46,1
output\gemini_flash\an_individual_photorealistic\170.png,gemini_flash,an_individual_photorealistic,170.png,26,Woman,white,happy,#d8bfb9,2,#f3e7db,9,#E7C1B8,2,8.51,1
output\gemini_flash\an_individual_photorealistic\171.png,gemini_flash,an_individual_photorealistic,171.png,26,Woman,white,neutral,#bfa091,5,#d7bd96,7,#BEA07E,3,7.79,2
output\gemini_flash\an_individual_photorealistic\172.png,gemini_flash,an_individual_photorealistic,172.png,26,Woman,white,happy,#e0c5c0,2,#f3e7db,9,#E7C1B8,2,8.72,1
output\gemini_flash\an_individual_photorealistic\173.png,gemini_flash,an_individual_photorealistic,173.png,27,Woman,white,happy,#e1c1b7,2,#f3e7db,9,#E7C1B8,2,6.38,1
output\gemini_flash\an_individual_photorealistic\174.png,gemini_flash,an_individual_photorealistic,174.png,28,Woman,white,happy,#a37b60,6,#a07e56,6,#9D7A54,4,7.86,2
output\gemini_flash\an_individual_photorealistic\175.png,gemini_flash,an_individual_photorealistic,175.png,23,Woman,white,happy,#d0b1a7,5,#d7bd96,9,#E7C1B8,2,8.27,1
output\gemini_flash\an_individual_photorealistic\176.png,gemini_flash,an_individual_photorealistic,176.png,30,Woman,middle eastern,happy,#f3c2a5,5,#d7bd96,8,#E5C8A6,2,1.34,2
output\gemini_flash\an_individual_photorealistic\177.png,gemini_flash,an_individual_photorealistic,177.png,26,Woman,white,happy,#caa697,5,#d7bd96,9,#E7C1B8,3,5.76,2
output\gemini_flash\an_individual_photorealistic\178.png,gemini_flash,an_individual_photorealistic,178.png,25,Woman,white,happy,#dcbfb9,2,#f3e7db,9,#E7C1B8,2,7.98,1
output\gemini_flash\an_individual_photorealistic\179.png,gemini_flash,an_individual_photorealistic,179.png,27,Woman,white,happy,#b27f67,6,#a07e56,6,#9D7A54,4,4.5,2
output\gemini_flash\an_individual_photorealistic\18.png,gemini_flash,an_individual_photorealistic,18.png,25,Woman,white,happy,#dfc1b7,2,#f3e7db,9,#E7C1B8,2,6.6,1
output\gemini_flash\an_individual_photorealistic\180.png,gemini_flash,an_individual_photorealistic,180.png,25,Woman,white,happy,#8a685c,7,#825c43,5,#81654F,5,8.15,2
output\gemini_flash\an_individual_photorealistic\181.png,gemini_flash,an_individual_photorealistic,181.png,26,Woman,white,neutral,#d3a695,5,#d7bd96,9,#E7C1B8,3,5.04,2
output\gemini_flash\an_individual_photorealistic\182.png,gemini_flash,an_individual_photorealistic,182.png,20,Woman,white,happy,#e4b8a4,5,#d7bd96,9,#E7C1B8,2,3.25,1
output\gemini_flash\an_individual_photorealistic\183.png,gemini_flash,an_individual_photorealistic,183.png,25,Man,white,happy,#fde5c8,3,#f7ead0,8,#E5C8A6,1,1.73,1
output\gemini_flash\an_individual_photorealistic\184.png,gemini_flash,an_individual_photorealistic,184.png,26,Woman,white,happy,#a3755e,6,#a07e56,6,#9D7A54,4,8.21,2
output\gemini_flash\an_individual_photorealistic\185.png,gemini_flash,an_individual_photorealistic,185.png,28,Woman,white,happy,#bf8765,6,#a07e56,6,#9D7A54,4,2.32,2
output\gemini_flash\an_individual_photorealistic\186.png,gemini_flash,an_individual_photorealistic,186.png,27,Woman,white,happy,#a38681,6,#a07e56,6,#9D7A54,4,11.43,1
output\gemini_flash\an_individual_photorealistic\187.png,gemini_flash,an_individual_photorealistic,187.png,29,Woman,white,happy,#efba9b,5,#d7bd96,9,#E7C1B8,2,2.75,1
output\gemini_flash\an_individual_photorealistic\188.png,gemini_flash,an_individual_photorealistic,188.png,25,Woman,white,happy,#dfc0b8,2,#f3e7db,9,#E7C1B8,2,6.84,1
output\gemini_flash\an_individual_photorealistic\189.png,gemini_flash,an_individual_photorealistic,189.png,22,Woman,white,neutral,#e7c5b6,2,#f3e7db,9,#E7C1B8,2,3.97,1
output\gemini_flash\an_individual_photorealistic\19.png,gemini_flash,an_individual_photorealistic,19.png,25,Man,white,angry,#f8ded0,2,#f3e7db,10,#F3DAD6,1,5.21,1
output\gemini_flash\an_individual_photorealistic\190.png,gemini_flash,an_individual_photorealistic,190.png,24,Woman,white,happy,#a37c6d,6,#a07e56,6,#9D7A54,4,8.79,1
output\gemini_flash\an_individual_photorealistic\191.png,gemini_flash,an_individual_photorealistic,191.png,22,Woman,white,happy,#e1b8a6,5,#d7bd96,9,#E7C1B8,2,3.36,2
output\gemini_flash\an_individual_photorealistic\192.png,gemini_flash,an_individual_photorealistic,192.png,26,Woman,white,happy,#9a7b77,6,#a07e56,5,#81654F,4,12.57,1
output\gemini_flash\an_individual_photorealistic\193.png,gemini_flash,an_individual_photorealistic,193.png,25,Woman,white,happy,#dabeb8,2,#f3e7db,9,#E7C1B8,2,7.59,1
output\gemini_flash\an_individual_photorealistic\194.png,gemini_flash,an_individual_photorealistic,194.png,26,Woman,white,happy,#b59693,6,#a07e56,9,#E7C1B8,4,12.24,1
output\gemini_flash\an_individual_photorealistic\195.png,gemini_flash,an_individual_photorealistic,195.png,26,Woman,white,happy,#8d756d,7,#825c43,5,#81654F,5,14.01,1
output\gemini_flash\an_individual_photorealistic\196.png,gemini_flash,an_individual_photorealistic,196.png,27,Woman,white,happy,#dcbaab,5,#d7bd96,9,#E7C1B8,2,4.89,2
output\gemini_flash\an_individual_photorealistic\197.png,gemini_flash,an_individual_photorealistic,197.png,27,Woman,white,happy,#f8b57f,5,#d7bd96,8,#E5C8A6,3,7.15,2
output\gemini_flash\an_individual_photorealistic\198.png,gemini_flash,an_individual_photorealistic,198.png,28,Woman,white,happy,#ad8468,6,#a07e56,6,#9D7A54,4,6.11,2
output\gemini_flash\an_individual_photorealistic\199.png,gemini_flash,an_individual_photorealistic,199.png,24,Woman,white,happy,#d4b5aa,5,#d7bd96,9,#E7C1B8,2,6.59,2
output\gemini_flash\an_individual_photorealistic\2.png,gemini_flash,an_individual_photorealistic,2.png,25,Woman,white,happy,#dbac98,5,#d7bd96,9,#E7C1B8,3,3.51,2
output\gemini_flash\an_individual_photorealistic\20.png,gemini_flash,an_individual_photorealistic,20.png,26,Woman,white,happy,#a9867b,6,#a07e56,6,#9D7A54,4,8.58,1
output\gemini_flash\an_individual_photorealistic\200.png,gemini_flash,an_individual_photorealistic,200.png,21,Man,white,neutral,#cfa996,5,#d7bd96,9,#E7C1B8,3,4.85,2
output\gemini_flash\an_individual_photorealistic\201.png,gemini_flash,an_individual_photorealistic,201.png,24,Woman,white,happy,#debfb7,2,#f3e7db,9,#E7C1B8,2,7.35,1
output\gemini_flash\an_individual_photorealistic\202.png,gemini_flash,an_individual_photorealistic,202.png,24,Woman,white,happy,#9e7c73,6,#a07e56,6,#9D7A54,4,10.6,1
output\gemini_flash\an_individual_photorealistic\203.png,gemini_flash,an_individual_photorealistic,203.png,28,Woman,white,happy,#b68d7c,6,#a07e56,7,#BEA07E,4,6.3,1
output\gemini_flash\an_individual_photorealistic\204.png,gemini_flash,an_individual_photorealistic,204.png,30,Woman,white,happy,#fbc497,5,#d7bd96,8,#E5C8A6,2,5.62,2
output\gemini_flash\an_individual_photorealistic\205.png,gemini_flash,an_individual_photorealistic,205.png,24,Woman,white,happy,#e2c3bb,2,#f3e7db,9,#E7C1B8,2,7.13,1
output\gemini_flash\an_individual_photorealistic\206.png,gemini_flash,an_individual_photorealistic,206.png,29,Woman,white,happy,#ad7d5e,6,#a07e56,6,#9D7A54,4,5.63,2
output\gemini_flash\an_individual_photorealistic\207.png,gemini_flash,an_individual_photorealistic,207.png,24,Woman,white,happy,#dbbbb4,2,#f3e7db,9,#E7C1B8,2,7.4,1
output\gemini_flash\an_individual_photorealistic\208.png,gemini_flash,an_individual_photorealistic,208.png,25,Woman,white,happy,#d9aa98,5,#d7bd96,9,#E7C1B8,3,5.03,2
output\gemini_flash\an_individual_photorealistic\209.png,gemini_flash,an_individual_photorealistic,209.png,25,Woman,white,happy,#dac1bb,2,#f3e7db,9,#E7C1B8,2,8.26,1
output\gemini_flash\an_individual_photorealistic\21.png,gemini_flash,an_individual_photorealistic,21.png,26,Man,white,happy,#dfb9a8,5,#d7bd96,9,#E7C1B8,2,3.97,2
output\gemini_flash\an_individual_photorealistic\210.png,gemini_flash,an_individual_photorealistic,210.png,26,Woman,white,neutral,#b68a7c,6,#a07e56,7,#BEA07E,4,6.19,2
output\gemini_flash\an_individual_photorealistic\211.png,gemini_flash,an_individual_photorealistic,211.png,20,Man,white,happy,#f7dcc6,2,#f3e7db,8,#E5C8A6,1,2.27,2
output\gemini_flash\an_individual_photorealistic\212.png,gemini_flash,an_individual_photorealistic,212.png,29,Woman,white,happy,#e2ac7c,5,#d7bd96,7,#BEA07E,3,4.91,2
output\gemini_flash\an_individual_photorealistic\213.png,gemini_flash,an_individual_photorealistic,213.png,31,Woman,white,happy,#a17d78,6,#a07e56,6,#9D7A54,4,11.41,1
output\gemini_flash\an_individual_photorealistic\214.png,gemini_flash,an_individual_photorealistic,214.png,24,Woman,white,happy,#e0b7a5,5,#d7bd96,9,#E7C1B8,2,3.76,1
output\gemini_flash\an_individual_photorealistic\215.png,gemini_flash,an_individual_photorealistic,215.png,24,Woman,white,happy,#9c7f76,6,#a07e56,6,#9D7A54,4,11.39,1
output\gemini_flash\an_individual_photorealistic\216.png,gemini_flash,an_individual_photorealistic,216.png,26,Woman,white,happy,#cbb2ab,5,#d7bd96,9,#E7C1B8,2,9.13,1
output\gemini_flash\an_individual_photorealistic\217.png,gemini_flash,an_individual_photorealistic,217.png,23,Woman,white,happy,#dec4bd,2,#f3e7db,9,#E7C1B8,2,8.0,1
output\gemini_flash\an_individual_photorealistic\218.png,gemini_flash,an_individual_photorealistic,218.png,27,Woman,white,happy,#f6ca8e,5,#d7bd96,8,#E5C8A6,1,9.92,1
output\gemini_flash\an_individual_photorealistic\219.png,gemini_flash,an_individual_photorealistic,219.png,30,Woman,white,happy,#d3a695,5,#d7bd96,9,#E7C1B8,3,5.3,1
output\gemini_flash\an_individual_photorealistic\22.png,gemini_flash,an_individual_photorealistic,22.png,23,Woman,white,happy,#e3b199,5,#d7bd96,9,#E7C1B8,3,2.87,2
output\gemini_flash\an_individual_photorealistic\220.png,gemini_flash,an_individual_photorealistic,220.png,27,Woman,white,happy,#ad8a6a,6,#a07e56,6,#9D7A54,4,7.61,2
output\gemini_flash\an_individual_photorealistic\221.png,gemini_flash,an_individual_photorealistic,221.png,26,Woman,white,happy,#d9bbb7,2,#f3e7db,9,#E7C1B8,2,9.07,1
output\gemini_flash\an_individual_photorealistic\222.png,gemini_flash,an_individual_photorealistic,222.png,26,Woman,white,happy,#6d4f45,8,#604134,4,#6F503C,5,8.65,1
output\gemini_flash\an_individual_photorealistic\223.png,gemini_flash,an_individual_photorealistic,223.png,24,Woman,white,happy,#d6aa95,5,#d7bd96,9,#E7C1B8,3,3.34,2
output\gemini_flash\an_individual_photorealistic\224.png,gemini_flash,an_individual_photorealistic,224.png,21,Man,white,happy,#e5bdae,5,#d7bd96,9,#E7C1B8,2,3.87,2
output\gemini_flash\an_individual_photorealistic\225.png,gemini_flash,an_individual_photorealistic,225.png,24,Woman,white,happy,#dbbab3,2,#f3e7db,9,#E7C1B8,2,7.98,1
output\gemini_flash\an_individual_photorealistic\226.png,gemini_flash,an_individual_photorealistic,226.png,26,Woman,white,happy,#dcbeb8,2,#f3e7db,9,#E7C1B8,2,8.19,1
output\gemini_flash\an_individual_photorealistic\227.png,gemini_flash,an_individual_photorealistic,227.png,29,Woman,white,happy,#9f7763,6,#a07e56,6,#9D7A54,4,9.07,2
output\gemini_flash\an_individual_photorealistic\228.png,gemini_flash,an_individual_photorealistic,228.png,22,Woman,white,happy,#d2a896,5,#d7bd96,9,#E7C1B8,3,4.53,2
output\gemini_flash\an_individual_photorealistic\229.png,gemini_flash,an_individual_photorealistic,229.png,24,Woman,white,happy,#cdb3ac,5,#d7bd96,9,#E7C1B8,2,9.18,1
output\gemini_flash\an_individual_photorealistic\23.png,gemini_flash,an_individual_photorealistic,23.png,29,Man,white,neutral,#56575e,9,#3a312a,1,#373028,6,18.95,2
output\gemini_flash\an_individual_photorealistic\230.png,gemini_flash,an_individual_photorealistic,230.png,25,Woman,white,happy,#d3b7ae,5,#d7bd96,9,#E7C1B8,2,7.81,1
output\gemini_flash\an_individual_photorealistic\231.png,gemini_flash,an_individual_photorealistic,231.png,26,Woman,middle eastern,happy,#efbca2,5,#d7bd96,9,#E7C1B8,2,1.97,2
output\gemini_flash\an_individual_photorealistic\232.png,gemini_flash,an_individual_photorealistic,232.png,25,Woman,white,happy,#e5c3bc,2,#f3e7db,9,#E7C1B8,2,7.19,1
output\gemini_flash\an_individual_photorealistic\233.png,gemini_flash,an_individual_photorealistic,233.png,26,Woman,white,happy,#bd9576,6,#a07e56,7,#BEA07E,4,6.89,2
output\gemini_flash\an_individual_photorealistic\234.png,gemini_flash,an_individual_photorealistic,234.png,26,Woman,white,happy,#c2968b,6,#a07e56,9,#E7C1B8,4,8.7,2
output\gemini_flash\an_individual_photorealistic\235.png,gemini_flash,an_individual_photorealistic,235.png,27,Woman,white,happy,#e4bba6,5,#d7bd96,9,#E7C1B8,2,2.76,1
